tool	calls	ok	errors	median_bytes	upstream_version_null	median_elapsed_s	release_status	status
alphafold_structure	3	3	0	1437	3	0.33	release under another key	ok
analyze_locus_synth	0	0	0	0	0	0.0	unused	unused
arabidopsis_natural_variation	0	0	0	0	0	0.0	unused	unused
aragwas_associations	3	3	0	114242	3	1.41	no release in the payload	ok
atted_coexpression	3	3	0	3748	3	1.0	release under another key	ok
bar_aiv_interactions	0	0	0	0	0	0.0	unused	unused
bar_efp_expression	0	0	0	0	0	0.0	unused	unused
bar_gene_summary	0	0	0	0	0	0.0	unused	unused
batch_atted_coexpression	0	0	0	0	0	0.0	unused	unused
batch_bar_aiv_interactions	0	0	0	0	0	0.0	unused	unused
batch_bar_gene_summary	0	0	0	0	0	0.0	unused	unused
batch_ensembl_plants_lookup_locus	0	0	0	0	0	0.0	unused	unused
batch_get_gene_xrefs	0	0	0	0	0	0.0	unused	unused
batch_gramene_homologs	0	0	0	0	0	0.0	unused	unused
batch_kegg_pathways	0	0	0	0	0	0.0	unused	unused
batch_locus_go_annotations	0	0	0	0	0	0.0	unused	unused
batch_locus_literature	0	0	0	0	0	0.0	unused	unused
batch_phytozome_lookup_locus	0	0	0	0	0	0.0	unused	unused
batch_resolve_locus_to_uniprot	0	0	0	0	0	0.0	unused	unused
batch_string_interactions	0	0	0	0	0	0.0	unused	unused
biological_context_synth	0	0	0	0	0	0.0	unused	unused
blast_sequence	0	0	0	0	0	0.0	unused	unused
consensus_homologs	0	0	0	0	0	0.0	unused	unused
ensembl_plants_lookup_locus	3	3	0	1009	3	3.08	no release in the payload	ok
ensembl_region_query	0	0	0	0	0	0.0	unused	unused
experimental_interactions	0	0	0	0	0	0.0	unused	unused
experimental_structures	3	3	0	3343	3	0.57	no release in the payload	ok
find_homologs_synth	0	0	0	0	0	0.0	unused	unused
gene_report	3	3	0	211826	0	2.95	upstream_version field	ok
get_gene_xrefs	0	0	0	0	0	0.0	unused	unused
get_sequence	0	0	0	0	0	0.0	unused	unused
go_enrichment	0	0	0	0	0	0.0	unused	unused
gramene_homologs	3	3	0	22186	3	0.16	release under another key	ok
interpro_domains	3	3	0	10368	0	0.54	upstream_version field	ok
jaspar_motif	0	0	0	0	0	0.0	unused	unused
kegg_pathways	3	3	0	724	3	0.9	no release in the payload	ok
locus_gene_rifs	0	0	0	0	0	0.0	unused	unused
locus_go_annotations	3	3	0	35221	3	0.7	no release in the payload	ok
locus_literature	3	3	0	42642	3	0.82	no release in the payload	ok
locus_plant_ontology	0	0	0	0	0	0.0	unused	unused
locus_variants	0	0	0	0	0	0.0	unused	unused
orthodb_orthologs	3	3	0	27167	3	2.27	no release in the payload	ok
panther_family	3	3	0	2851	3	0.48	no release in the payload	ok
phytozome_lookup_locus	0	0	0	0	0	0.0	unused	unused
plantcyc_locus_info	0	0	0	0	0	0.0	unused	unused
resolve_locus_to_uniprot	3	3	0	899	0	0.47	upstream_version field	ok
string_interactions	3	3	0	6918	3	0.39	no release in the payload	ok
tair_locus_info	0	0	0	0	0	0.0	unused	unused
tf_binding_motifs	3	3	0	2077	3	2.41	no release in the payload	ok
vep_annotate	0	0	0	0	0	0.0	unused	unused
