locus	symbol	organism	panther_subfamily	has_pb1_domain
AT1G19850	ARF5	arabidopsis_thaliana	PTHR31384:SF10	true
AT1G59750	ARF1	arabidopsis_thaliana	PTHR31384:SF96	true
AT2G28350	ARF10	arabidopsis_thaliana	PTHR31384:SF193	false
AT1G19220	ARF19	arabidopsis_thaliana	PTHR31384:SF21	true
AT1G30330	ARF6	arabidopsis_thaliana	PTHR31384:SF150	true
AT1G34170	ARF13	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G34310	ARF12	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G34390	ARF22	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G34410	ARF21	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G35240	ARF20	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G35520	ARF15	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G35540	ARF14	arabidopsis_thaliana	PTHR31384:SF164	true
AT1G77850	ARF17	arabidopsis_thaliana	PTHR31384:SF94	false
AT2G33860	ETT	arabidopsis_thaliana	PTHR31384:SF5	false
AT2G46530	ARF11	arabidopsis_thaliana	PTHR31384:SF8	true
AT3G61830	ARF18	arabidopsis_thaliana	PTHR31384:SF81	true
AT4G23980	ARF9	arabidopsis_thaliana	PTHR31384:SF1	true
AT4G30080	ARF16	arabidopsis_thaliana	PTHR31384:SF160	false
AT5G20730	NPH4	arabidopsis_thaliana	PTHR31384:SF93	true
AT5G37020	ARF8	arabidopsis_thaliana	PTHR31384:SF3	false
AT5G60450	ARF4	arabidopsis_thaliana	PTHR31384:SF102	false
AT5G62000	ARF2	arabidopsis_thaliana	PTHR31384:SF79	true
ATMG00940	ATMG00940	arabidopsis_thaliana		false
Os01g0236300	OsARF16	oryza_sativa	PTHR31384:SF1	true
Os02g0141100	OsARF5	oryza_sativa		true
Os04g0671900	ARF12	oryza_sativa	PTHR31384:SF185	true
Os06g0196700	Os06g0196700	oryza_sativa	PTHR31384:SF21	true
Os08g0520500	OsARF7b	oryza_sativa		true
Os08g0520550	Os08g0520550	oryza_sativa	PTHR31384:SF163	false
