query_locus	tool	organism	hits	hits_elsewhere
AT1G19220	gramene_homologs	oryza_sativa	Os06g0196700	98
AT1G19220	gramene_homologs	triticum_aestivum	TraesCS7B02G065800	98
AT1G19220	orthodb_orthologs	oryza_sativa	none	100
AT1G19220	orthodb_orthologs	triticum_aestivum	none	100
AT1G19850	gramene_homologs	oryza_sativa	none	100
AT1G19850	gramene_homologs	triticum_aestivum	none	100
AT1G19850	orthodb_orthologs	oryza_sativa	none	100
AT1G19850	orthodb_orthologs	triticum_aestivum	none	100
AT1G30330	gramene_homologs	oryza_sativa	none	100
AT1G30330	gramene_homologs	triticum_aestivum	none	100
AT1G30330	orthodb_orthologs	oryza_sativa	none	100
AT1G30330	orthodb_orthologs	triticum_aestivum	none	100
AT1G34170	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G34170	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G34170	orthodb_orthologs	oryza_sativa	none	0
AT1G34170	orthodb_orthologs	triticum_aestivum	none	0
AT1G34310	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G34310	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G34310	orthodb_orthologs	oryza_sativa	none	0
AT1G34310	orthodb_orthologs	triticum_aestivum	none	0
AT1G34390	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G34390	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G34390	orthodb_orthologs	oryza_sativa	none	0
AT1G34390	orthodb_orthologs	triticum_aestivum	none	0
AT1G34410	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G34410	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G34410	orthodb_orthologs	oryza_sativa	none	58
AT1G34410	orthodb_orthologs	triticum_aestivum	none	58
AT1G35240	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G35240	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G35240	orthodb_orthologs	oryza_sativa	none	21
AT1G35240	orthodb_orthologs	triticum_aestivum	none	21
AT1G35520	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G35520	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G35520	orthodb_orthologs	oryza_sativa	none	0
AT1G35520	orthodb_orthologs	triticum_aestivum	none	0
AT1G35540	gramene_homologs	oryza_sativa	Os01g0236300	96
AT1G35540	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT1G35540	orthodb_orthologs	oryza_sativa	none	0
AT1G35540	orthodb_orthologs	triticum_aestivum	none	0
AT1G59750	gramene_homologs	oryza_sativa	none	100
AT1G59750	gramene_homologs	triticum_aestivum	none	100
AT1G59750	orthodb_orthologs	oryza_sativa	none	100
AT1G59750	orthodb_orthologs	triticum_aestivum	none	100
AT1G77850	gramene_homologs	oryza_sativa	none	99
AT1G77850	gramene_homologs	triticum_aestivum	TraesCS2A02G567300	99
AT1G77850	orthodb_orthologs	oryza_sativa	none	100
AT1G77850	orthodb_orthologs	triticum_aestivum	none	100
AT2G28350	gramene_homologs	oryza_sativa	none	100
AT2G28350	gramene_homologs	triticum_aestivum	none	100
AT2G28350	orthodb_orthologs	oryza_sativa	none	100
AT2G28350	orthodb_orthologs	triticum_aestivum	none	100
AT2G33860	gramene_homologs	oryza_sativa	none	100
AT2G33860	gramene_homologs	triticum_aestivum	none	100
AT2G33860	orthodb_orthologs	oryza_sativa	none	100
AT2G33860	orthodb_orthologs	triticum_aestivum	none	100
AT2G46530	gramene_homologs	oryza_sativa	Os01g0236300	96
AT2G46530	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT2G46530	orthodb_orthologs	oryza_sativa	none	100
AT2G46530	orthodb_orthologs	triticum_aestivum	none	100
AT3G61830	gramene_homologs	oryza_sativa	Os01g0236300	96
AT3G61830	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	96
AT3G61830	orthodb_orthologs	oryza_sativa	none	100
AT3G61830	orthodb_orthologs	triticum_aestivum	none	100
AT4G23980	gramene_homologs	oryza_sativa	none	100
AT4G23980	gramene_homologs	triticum_aestivum	none	100
AT4G23980	orthodb_orthologs	oryza_sativa	none	100
AT4G23980	orthodb_orthologs	triticum_aestivum	none	100
AT4G30080	gramene_homologs	oryza_sativa	none	100
AT4G30080	gramene_homologs	triticum_aestivum	none	100
AT4G30080	orthodb_orthologs	oryza_sativa	none	100
AT4G30080	orthodb_orthologs	triticum_aestivum	none	100
AT5G20730	gramene_homologs	oryza_sativa	Os06g0196700	98
AT5G20730	gramene_homologs	triticum_aestivum	TraesCS7B02G065800	98
AT5G20730	orthodb_orthologs	oryza_sativa	none	100
AT5G20730	orthodb_orthologs	triticum_aestivum	none	100
AT5G37020	gramene_homologs	oryza_sativa	Os04g0671900	96
AT5G37020	gramene_homologs	triticum_aestivum	TraesCS2A02G547800,TraesCS2B02G578500,TraesCS2D02G548900	96
AT5G37020	orthodb_orthologs	oryza_sativa	none	100
AT5G37020	orthodb_orthologs	triticum_aestivum	none	100
AT5G60450	gramene_homologs	oryza_sativa	none	90
AT5G60450	gramene_homologs	triticum_aestivum	none	90
AT5G60450	orthodb_orthologs	oryza_sativa	none	100
AT5G60450	orthodb_orthologs	triticum_aestivum	none	100
AT5G62000	gramene_homologs	oryza_sativa	none	100
AT5G62000	gramene_homologs	triticum_aestivum	none	100
AT5G62000	orthodb_orthologs	oryza_sativa	none	100
AT5G62000	orthodb_orthologs	triticum_aestivum	none	100
ATMG00940	gramene_homologs	oryza_sativa	none	99
ATMG00940	gramene_homologs	triticum_aestivum	TraesCS2A02G567300	99
ATMG00940	orthodb_orthologs	oryza_sativa	none	0
ATMG00940	orthodb_orthologs	triticum_aestivum	none	0
Os06g0196700	gramene_homologs	oryza_sativa	none	100
Os06g0196700	gramene_homologs	triticum_aestivum	none	100
Os06g0196700	orthodb_orthologs	oryza_sativa	none	100
Os06g0196700	orthodb_orthologs	triticum_aestivum	none	100
Os01g0236300	gramene_homologs	oryza_sativa	none	97
Os01g0236300	gramene_homologs	triticum_aestivum	TraesCS3A02G159200,TraesCS3B02G190100,TraesCS3D02G166700	97
Os01g0236300	orthodb_orthologs	oryza_sativa	none	100
Os01g0236300	orthodb_orthologs	triticum_aestivum	none	100
Os04g0671900	gramene_homologs	oryza_sativa	none	97
Os04g0671900	gramene_homologs	triticum_aestivum	TraesCS2A02G547800,TraesCS2B02G578500,TraesCS2D02G548900	97
Os04g0671900	orthodb_orthologs	oryza_sativa	none	100
Os04g0671900	orthodb_orthologs	triticum_aestivum	none	100
