locus	organism	source	kept	interpro_entries
AT1G01030	arabidopsis_thaliana	region:1:1	false	IPR003340,IPR015300,IPR044800
AT1G01335	arabidopsis_thaliana	region:1:1	undecided	call failed: InterPro entry/protein → HTTP 204:
AT1G02430	arabidopsis_thaliana	region:1:1	false	IPR006689,IPR024156,IPR027417
AT1G02440	arabidopsis_thaliana	region:1:1	false	IPR006689,IPR024156,IPR027417
AT1G05615	arabidopsis_thaliana	region:1:1	false	IPR003340,IPR005508,IPR015300
AT1G05920	arabidopsis_thaliana	region:1:1	false	IPR003340,IPR005508,IPR015300
AT1G05930	arabidopsis_thaliana	region:1:1	false	IPR003340,IPR005508,IPR015300
AT1G08680	arabidopsis_thaliana	region:1:1	false	IPR001164,IPR037278,IPR038508,IPR044820
AT1G08985	arabidopsis_thaliana	region:1:1	false	IPR003340,IPR015300,IPR051442
AT1G10455	arabidopsis_thaliana	region:1:1	false	IPR003340,IPR015300,IPR051442
AT1G10630	arabidopsis_thaliana	region:1:1	false	IPR005225,IPR006689,IPR024156,IPR027417,IPR045872
AT1G10870	arabidopsis_thaliana	region:1:1	false	IPR001164,IPR001849,IPR002110,IPR004148,IPR011993,IPR027267,IPR035670,IPR036770,IPR037278,IPR038508,IPR045258
AT1G12820	arabidopsis_thaliana	region:1:4000001	false	IPR001611,IPR001810,IPR032675,IPR041101,IPR041567
AT1G13930	arabidopsis_thaliana	region:1:4000001	false	IPR040294
AT1G16330	arabidopsis_thaliana	region:1:4000001	false	IPR004367,IPR006671,IPR013763,IPR036915,IPR039361,IPR046965,IPR048258
AT1G16510	arabidopsis_thaliana	region:1:4000001	false	IPR003676
AT1G16640	arabidopsis_thaliana	region:1:4000001	false	IPR003340,IPR015300,IPR050655
AT1G17345	arabidopsis_thaliana	region:1:4000001	false	IPR003676
AT1G19220	arabidopsis_thaliana	region:1:4000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G19830	arabidopsis_thaliana	region:1:4000001	false	IPR003676
AT1G19840	arabidopsis_thaliana	region:1:4000001	false	IPR003676
AT1G19850	arabidopsis_thaliana	seed	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G20470	arabidopsis_thaliana	region:1:4000001	false	IPR003676
AT1G20600	arabidopsis_thaliana	region:1:4000001	false	IPR003340,IPR005508,IPR015300
AT1G20696	arabidopsis_thaliana	region:1:4000001	false	IPR009071,IPR031061,IPR036910
AT1G20925	arabidopsis_thaliana	region:1:4000001	false	IPR004776,IPR045033
AT1G23080	arabidopsis_thaliana	region:1:8000001	false	IPR004776,IPR014024,IPR051107
AT1G23160	arabidopsis_thaliana	region:1:8000001	false	IPR004993,IPR055377,IPR055378
AT1G23490	arabidopsis_thaliana	region:1:8000001	false	IPR005225,IPR006689,IPR024156,IPR027417,IPR045872
AT1G25560	arabidopsis_thaliana	region:1:8000001	false	IPR001471,IPR003340,IPR015300,IPR016177,IPR036955,IPR044800
AT1G26680	arabidopsis_thaliana	region:1:8000001	false	IPR003340,IPR015300,IPR039218
AT1G28130	arabidopsis_thaliana	region:1:8000001	false	IPR004993,IPR055377,IPR055378
AT1G28300	arabidopsis_thaliana	region:1:8000001	false	IPR003340,IPR015300,IPR044800
AT1G29420	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29430	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29440	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29450	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29460	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29490	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29500	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G29510	arabidopsis_thaliana	region:1:10000001	false	IPR003676
AT1G30330	arabidopsis_thaliana	region:1:10000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G32030	arabidopsis_thaliana	region:1:10000001	false	IPR003340,IPR005508,IPR015300
AT1G33410	arabidopsis_thaliana	region:1:12000001	false	IPR021717,IPR035192,IPR036322,IPR056535,IPR056536,IPR059141
AT1G34170	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G34310	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G34390	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G34410	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G35240	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G35520	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G35540	arabidopsis_thaliana	region:1:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G43040	arabidopsis_thaliana	region:1:16000001	false	IPR003676
AT1G43171	arabidopsis_thaliana	region:1:16000001	false	IPR003340,IPR015300,IPR051442
AT1G43950	arabidopsis_thaliana	region:1:16000001	false	IPR003340,IPR015300,IPR044835
AT1G48660	arabidopsis_thaliana	region:1:17000001	false	IPR004993,IPR055377,IPR055378
AT1G48670	arabidopsis_thaliana	region:1:17000001	false	IPR004993,IPR055377,IPR055378
AT1G48690	arabidopsis_thaliana	region:1:18000001	false	IPR004993
AT1G49475	arabidopsis_thaliana	region:1:18000001	false	IPR003340,IPR015300,IPR050655
AT1G50220	arabidopsis_thaliana	region:1:18000001	false	IPR003340,IPR015300,IPR051442
AT1G50680	arabidopsis_thaliana	region:1:18000001	false	IPR001471,IPR003340,IPR015300,IPR016177,IPR036955,IPR044800
AT1G51120	arabidopsis_thaliana	region:1:18000001	false	IPR001471,IPR003340,IPR015300,IPR016177,IPR036955,IPR044800
AT1G51970	arabidopsis_thaliana	region:1:19000001	false	IPR003340,IPR015300,IPR051442
AT1G54070	arabidopsis_thaliana	region:1:20000001	false	IPR008406
AT1G56150	arabidopsis_thaliana	region:1:21000001	false	IPR003676
AT1G56220	arabidopsis_thaliana	region:1:21000001	false	IPR008406
AT1G59500	arabidopsis_thaliana	region:1:21000001	false	IPR004993,IPR055377,IPR055378
AT1G59750	arabidopsis_thaliana	seed	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT1G60860	arabidopsis_thaliana	region:1:22000001	false	IPR001164,IPR001849,IPR002110,IPR004148,IPR011993,IPR027267,IPR035670,IPR036770,IPR037278,IPR038508,IPR045258
AT1G64090	arabidopsis_thaliana	region:1:23000001	false	IPR003388,IPR045064
AT1G67035	arabidopsis_thaliana	region:1:25000001	false	IPR065374
AT1G70490	arabidopsis_thaliana	region:1:26000001	false	IPR005225,IPR006689,IPR024156,IPR027417,IPR045872
AT1G70940	arabidopsis_thaliana	region:1:26000001	false	IPR004776,IPR014024,IPR051107
AT1G71090	arabidopsis_thaliana	region:1:26000001	false	IPR004776,IPR039305
AT1G72430	arabidopsis_thaliana	region:1:27000001	false	IPR003676
AT1G73590	arabidopsis_thaliana	region:1:27000001	false	IPR004776,IPR014024,IPR051107
AT1G75310	arabidopsis_thaliana	region:1:28000001	false	IPR001623,IPR036869
AT1G75580	arabidopsis_thaliana	region:1:28000001	false	IPR003676
AT1G75590	arabidopsis_thaliana	region:1:28000001	false	IPR003676
AT1G76190	arabidopsis_thaliana	region:1:28000001	false	IPR003676
AT1G76520	arabidopsis_thaliana	region:1:28000001	false	IPR004776,IPR045033
AT1G76530	arabidopsis_thaliana	region:1:28000001	false	IPR004776,IPR045033
AT1G77110	arabidopsis_thaliana	region:1:28000001	false	IPR004776,IPR014024,IPR051107
AT1G77850	arabidopsis_thaliana	paralog:AT2G28350	true	IPR003340,IPR010525,IPR015300,IPR044835
AT1G78635	arabidopsis_thaliana	region:1:29000001	false	IPR003340,IPR015300,IPR051442
AT1G78640	arabidopsis_thaliana	region:1:29000001	false	IPR003340,IPR015300,IPR051442
AT1G79130	arabidopsis_thaliana	region:1:29000001	false	IPR003676
AT1G80680	arabidopsis_thaliana	region:1:30000001	false	IPR007230,IPR021967,IPR036903,IPR037665
AT2G01420	arabidopsis_thaliana	region:2:1	false	IPR004776,IPR014024,IPR051107
AT2G04850	arabidopsis_thaliana	region:2:1	false	IPR005018,IPR006593,IPR017214,IPR045265,IPR065467
AT2G13985	arabidopsis_thaliana	region:2:4000001	false	IPR003340,IPR015300,IPR039218
AT2G14960	arabidopsis_thaliana	region:2:4000001	false	IPR004993,IPR055377,IPR055378
AT2G15310	arabidopsis_thaliana	region:2:4000001	false	IPR005225,IPR006689,IPR024156,IPR027417
AT2G16210	arabidopsis_thaliana	region:2:4000001	false	IPR003340,IPR015300,IPR050655
AT2G16580	arabidopsis_thaliana	region:2:4000001	false	IPR003676
AT2G17500	arabidopsis_thaliana	region:2:4000001	false	IPR004776,IPR045033
AT2G18010	arabidopsis_thaliana	region:2:4000001	false	IPR003676
AT2G18810	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR005508,IPR015300
AT2G21200	arabidopsis_thaliana	region:2:8000001	false	IPR003676
AT2G21210	arabidopsis_thaliana	region:2:8000001	false	IPR003676
AT2G21220	arabidopsis_thaliana	region:2:8000001	false	IPR003676
AT2G23170	arabidopsis_thaliana	region:2:8000001	false	IPR004993,IPR055377,IPR055378
AT2G24400	arabidopsis_thaliana	region:2:8000001	false	IPR003676
AT2G24645	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24650	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24670	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR005508,IPR015300
AT2G24680	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24681	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24690	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24696	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24700	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR015300,IPR039218
AT2G24765	arabidopsis_thaliana	region:2:8000001	false	IPR005225,IPR006689,IPR024156,IPR027417
AT2G27410	arabidopsis_thaliana	region:2:8000001	false	IPR003340,IPR005508,IPR015300
AT2G28085	arabidopsis_thaliana	region:2:8000001	false	IPR003676
AT2G28350	arabidopsis_thaliana	seed	true	IPR003340,IPR010525,IPR015300,IPR044835,IPR053793
AT2G30470	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR011124,IPR015300,IPR057743
AT2G31420	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR005508,IPR015300
AT2G31460	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR005508,IPR015300
AT2G31720	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR005508,IPR015300
AT2G31862	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR005508,IPR015300
AT2G32530	arabidopsis_thaliana	region:2:12000001	false	IPR005150,IPR029044
AT2G32645	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR005508,IPR015300
AT2G32905	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR005508
AT2G33310	arabidopsis_thaliana	region:2:12000001	false	IPR003311,IPR033389,IPR053793
AT2G33720	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR015300,IPR051442,IPR062386
AT2G33830	arabidopsis_thaliana	region:2:12000001	false	IPR008406
AT2G33860	arabidopsis_thaliana	region:2:12000001	true	IPR003340,IPR010525,IPR015300,IPR044835
AT2G35210	arabidopsis_thaliana	region:2:12000001	false	IPR001164,IPR037278,IPR038508
AT2G35310	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR015300,IPR050655
AT2G36080	arabidopsis_thaliana	region:2:12000001	false	IPR003340,IPR015300,IPR044800
AT2G36210	arabidopsis_thaliana	region:2:12000001	false	IPR003676
AT2G36920	arabidopsis_thaliana	region:2:12000001	undecided	call failed: InterPro entry/protein → HTTP 204:
AT2G37030	arabidopsis_thaliana	region:2:12000001	false	IPR003676
AT2G37550	arabidopsis_thaliana	region:2:12000001	false	IPR001164,IPR037278,IPR038508,IPR044519
AT2G41690	arabidopsis_thaliana	region:2:16000001	false	IPR000232,IPR036388,IPR036390
AT2G45210	arabidopsis_thaliana	region:2:16000001	false	IPR003676
AT2G46370	arabidopsis_thaliana	region:2:16000001	false	IPR004993,IPR055377,IPR055378
AT2G46530	arabidopsis_thaliana	region:2:16000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT2G46690	arabidopsis_thaliana	region:2:16000001	false	IPR003676
AT2G46870	arabidopsis_thaliana	region:2:16000001	false	IPR003340,IPR015300,IPR044800
AT2G47170	arabidopsis_thaliana	region:2:16000001	false	IPR005225,IPR006689,IPR024156,IPR027417,IPR045872
